chisq,chisq_cent,chisq_sat,dkl,dkl_cent,dkl_sat,jobID,p0_cent,p0_sat,p1_cent,p1_sat,p2_cent,p2_sat,p3_cent,p3_sat,p4_cent,p4_sat,p5_cent,p5_sat,runID
1.858690813288925,0.8595051577593933,2.8984504309836625,3110.1324919948456,100.38302187859998,8387.877284431992,0.0,1.022039,3.1904540316416785,-0.407737,-0.1408787164580651,3.457824,-0.0457143974840815,2.706002,2.3257047910286985,4.276705,8.962255421159057,-2.434651,-0.3152897968054517,0
60.08247037385131,1.0931525294384672,145.78795071611097,1818300.074204752,256.3796374996759,5440464.28278355,1.0,1.022039,1.040902199545768,-0.407737,-0.732087709832852,3.457824,1.3093465245189364,2.706002,1.476099640743907,4.276705,6.370041162582793,-2.434651,-1.6199867744836798,0
16.577823140427945,0.8888580227967935,36.62585022441115,68898.76578747867,60.321422733330095,191268.80729885693,2.0,1.022039,9.969589915851165,-0.407737,0.0711009507917594,3.457824,5.597476574042117,2.706002,1.187359174853908,4.276705,6.525749338334274,-2.434651,-2.445919497369676,0
60.73275635983133,1.050275226861494,146.83860635856632,2268642.9107166063,226.0476330956962,6793769.524591921,3.0,1.022039,7.513586109145491,-0.407737,-0.5648468102646262,3.457824,6.278622506892078,2.706002,-0.4816763190013837,4.276705,9.943621579645267,-2.434651,-1.7920028398272765,0
60.99553486272646,1.0862557751733797,149.0232264521183,1797301.5955838654,304.7910466017378,5376284.675151608,4.0,1.022039,9.841408098056627,-0.407737,1.9837147656401584,3.457824,0.8487022089596195,2.706002,-0.4311575175789102,4.276705,8.823962882586878,-2.434651,-2.579019095580245,0
12.029945398872812,0.8035983987284513,24.875933037346257,25847.289758202984,115.26742966626142,71312.02711375072,5.0,1.022039,9.024201145212109,-0.407737,0.0573645666213078,3.457824,0.9015834997594564,2.706002,-4.181099785229268,4.276705,9.350700687795795,-2.434651,-0.0698826334982936,0
10.717528101799392,0.6877264826868407,23.141232668951663,88564.46010854062,81.91104890567337,256388.9127653541,6.0,1.022039,1.2810769412850398,-0.407737,-0.8839217005947813,3.457824,4.474291741091609,2.706002,0.3311606505198217,4.276705,0.7528041410208386,-2.434651,-1.0616291527264092,0
58.01763724335324,0.9095813496144132,139.86715117248957,1924242.925348817,190.8947208927446,5753332.697492571,7.0,1.022039,0.3402671624275777,-0.407737,0.7495711925108335,3.457824,1.548365576134206,2.706002,1.2686626789545343,4.276705,6.701876340524391,-2.434651,-1.1366335669175154,0
57.83031590826581,1.0902741992458609,140.78706251007932,1686179.3086992733,262.1065137974832,5043723.25109811,8.0,1.022039,8.753298252733524,-0.407737,-0.9958676338553794,3.457824,4.04823627266066,2.706002,3.3924520610185063,4.276705,9.442227159752612,-2.434651,-3.783159548430556,0
61.66732720816727,1.0510956042556745,150.39210431885155,2012765.4572684765,194.67800801266472,6029313.806064923,9.0,1.022039,8.50680898944945,-0.407737,-0.0966009778322884,3.457824,4.208545947307832,2.706002,-2.236739214364976,4.276705,5.880343212998118,-2.434651,-0.8786374259852625,0
59.66573144869959,1.0182077259065148,145.08186624183335,2189930.049243277,399.9888059654176,6555995.096412096,10.0,1.022039,3.481759995845408,-0.407737,-2.1748101286193737,3.457824,8.050160485702229,2.706002,-1.2041550927815248,4.276705,8.279857913889387,-2.434651,-0.1550696045738888,0
60.819969510396255,0.9156061896208834,147.6953529675561,1727310.3771965124,164.5862134888348,5157288.762962379,11.0,1.022039,5.059523775977172,-0.407737,0.2764654361759504,3.457824,0.9646735294940996,2.706002,3.8309416044191416,4.276705,9.882027456870889,-2.434651,-2.855776596092044,0
60.30076290459319,0.9308994897396206,146.28197926604415,1549300.7592240474,322.72432566957656,4634485.969525615,12.0,1.022039,5.885643959421777,-0.407737,1.1228443081924482,3.457824,5.768623310707343,2.706002,-2.330787216264989,4.276705,3.1092111118818857,-2.434651,-1.025409657851883,0
52.44282537990455,0.9166050164721689,125.19651607800785,1362466.872882462,167.8696773049216,4073706.351254426,13.0,1.022039,2.677186744763156,-0.407737,-0.4895942121090826,3.457824,6.3063090707586165,2.706002,1.308627011959009,4.276705,1.461995066827798,-2.434651,-4.767797543239461,0
31.21242702496233,1.185489992656957,72.46278297846811,1526041.1763253815,283.0467194393972,4567413.009267887,14.0,1.022039,8.610677752514125,-0.407737,-1.6034708548240388,3.457824,7.684825028744992,2.706002,1.0335057139035833,4.276705,5.399354876455339,-2.434651,-2.386031791571249,0
60.97283458018251,1.1838453447292443,147.70901237614387,2121630.036479641,525.7202137213654,6352023.293951867,15.0,1.022039,0.2980368252267829,-0.407737,2.46191765455084,3.457824,6.7491946398383895,2.706002,-1.3377170357122488,4.276705,1.403256488026813,-2.434651,-0.1813085650946515,0
52.199506338995285,0.8469830603869517,125.594720067845,1128691.716233621,381.2067717808989,3375859.0431434587,16.0,1.022039,1.3160362313914076,-0.407737,1.713213030824111,3.457824,6.511031241565244,2.706002,7.549045299593782,4.276705,8.420681085969656,-2.434651,-7.821645634058041,0
38.11416369165302,0.9536875046112194,89.89080738477277,1593357.131014886,310.4915751305727,4760941.734750011,17.0,1.022039,5.917102424489963,-0.407737,-2.4825518578194554,3.457824,6.235619365586953,2.706002,3.8173259791641065,4.276705,6.680791357438338,-2.434651,-4.503410347193073,0
53.3337514758834,1.0091681446523215,128.64156533958385,1380336.8692082404,109.48678839844364,4125827.1225194,18.0,1.022039,8.046636424862832,-0.407737,1.4899125957285175,3.457824,3.5953741371252352,2.706002,4.570978076219653,4.276705,9.08609512090576,-2.434651,-4.842609494467166,0
